,,title,url,pid,formatted_url,price,currency,original_price,discount,f_assured,highlights,seller,seller_rating,description,specifications,formatted_specifications,images,return_policy,category,sub_category_1,sub_category_2,sub_category_3,breadcrumbs,country_of_origin,generic_name,manufactured_by,avg_ratings,reviews_count,ratings_count,uniq_id,scraped_at
0,0,"REALKING Back Cover for Tecno Camon 15, Tecno Spark 5, ecno Spark 5 Pro  (Pink, Blue, Silicon)",https://www.flipkart.com/realking-back-cover-tecno-camon-15-spark-5-ecno-5-pro/p/itmb8be532e55fe3,itmb8be532e55fe3,https://www.flipkart.com/product/p/itmb8be532e55fe3,148,INR,₹498,70% off,False,,REALKINGSHIVA,3.9,,[],,https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/l/n/p/tc-cm15-jp4171-back-cover-sswastik-original-imaggzgmgwwdffeb.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/i/a/8/tc-cm15-jp4171-back-cover-sswastik-original-imaggzgmxua6nqzf.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/p/u/t/tc-cm15-jp4171-back-cover-sswastik-original-imaggzgmrtmckgvk.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/1/o/m/clpd-cool3-jp4171-back-cover-bagra-original-imaggjpzcgdfxzas.jpeg,No Returns Applicable,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | REALKING Designer Cases & Covers,India,Shopsy Cases Covers,,0,0,0,c65ccdce-cd3b-508d-83a4-215fe416f050,01/01/24
1,1,Alakazam 6.5 inch 5x Screen Expander Phone,https://www.flipkart.com/alakazam-6-5-inch-5x-screen-expander-phone/p/itmc815c08e18a57,itmc815c08e18a57,https://www.flipkart.com/product/p/itmc815c08e18a57,464,INR,₹899,48% off,False,,FashionFett,2.7,"The second generation 3D Enlarged Screen Mobile Phone Screen Magnifier HD optical technology in mobile phone screen Keeps the cell phone screen magnification 2-3 times Clear and vivid pictures and stronger dynamic feeling Adopts HD amplification optical technology No power-driven, no-cost, energy-saving and radiation protection Simple, compact, and suitable for all kinds of mobile phone Reduces the eyes fatigue when you watch videos on the phone 3D effect, strong stereoscopy, Specially fit for the elderly read books, read the news on line Folding design, light weight, small size and easy to carry Suitable for use in various occasions such as indoors, camping, travel, and leisure etc","[{'Brand': 'Alakazam'}, {'Model Number': 'High Quality Glass Mobile Phone 3D Screen Magnifier'}, {'Color': 'Black'}, {'Compatible With': 'All Smartphones'}, {'Screen Size': '6.5'}, {'Material': 'Plastic'}, {'Magnification': '5x'}, {'Net Quantity': '1'}, {'Weight': '80 g'}, {'Warranty Summary': '10 Days Replacements Only'}, {'Service Type': 'NA'}, {'Covered in Warranty': 'Manufacturing Defect'}, {'Not Covered in Warranty': 'Physical Damage'}]",Alakazam: Brand | High Quality Glass Mobile Phone 3D Screen Magnifier: Model Number | Black: Color | All Smartphones: Compatible With | 6.5: Screen Size | Plastic: Material | 5x: Magnification | 1: Net Quantity | 80 g: Weight | 10 Days Replacements Only: Warranty Summary | NA: Service Type | Manufacturing Defect: Covered in Warranty | Physical Damage: Not Covered in Warranty,,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Screen Expander For Phones,Alakazam Screen Expander For Phones,Mobiles & Accessories | Mobile Accessories | Screen Expander For Phones | Alakazam Screen Expander For Phones,India,,Shop.no.12,0,0,0,a2a4835f-fd21-522e-82dd-9e0f28328c6e,01/01/24
2,6,Snooky Oppo F21 Pro 5G Mobile Skin  (Multicolor),https://www.flipkart.com/snooky-oppo-f21-pro-5g-mobile-skin/p/itm3926d9b052d5a,itm3926d9b052d5a,https://www.flipkart.com/product/p/itm3926d9b052d5a,249,INR,₹499,50% off,False,Oppo F21 Pro 5G | Sports | Car On Rain | Vinyl | Removable,Snooky,3.3,Snooky Digital Print Mobile Skin Sticker For Mobiles For Direct Application On Your Device For An Awesome Makeover Without Adding Any Bulk. Made From Premium Vinyl With Anti-Bubble Channels For Easy Applicability. Clean Residue-Free Removal.High-Resolution Digital Printing.Note: use hair dryer to heat the vinyl to stick easily at curves.,[],,https://rukminim2.flixcart.com/image/l4vnbm80/mobile-skin/l/a/5/asknskn1026oppf21pr5g-yes-aashkan-original-imagfzagp822sgur.jpeg | https://rukminim2.flixcart.com/image/k6l2vm80/mobile-skin/w/z/v/real-wooden-skin-hwymx-snooky-original-imafeyg4arnnmteu.jpeg | https://rukminim2.flixcart.com/image/krz97rk0/mobile-skin/t/b/b/tdlrskn1591mtrlmotgstyls-tiddler-original-imag5n7apetjpdu5.jpeg | https://rukminim2.flixcart.com/image/khtghow0/mobile-skin/f/y/k/snkyskn1582mtrlmotgpr-snooky-original-imafeyg45meqvqn3.jpeg | https://rukminim2.flixcart.com/image/l3bx5e80/mobile-skin/o/q/x/tdlrskn1571hnrmgc4ultmt-yes-tiddler-original-imafeyg42bk9uhrg.jpeg,No Returns Applicable,Mobiles & Accessories,Mobile Accessories,Styling & Maintenance,Mobile Skin Stickers,Mobiles & Accessories | Mobile Accessories | Styling & Maintenance | Mobile Skin Stickers | Snooky Mobile Skin Stickers,India,Mobile Skins,,0,0,0,0f80a7c5-3d0b-5c8f-bf8f-2a364376edc5,01/01/24
3,8,"Faybey Back Cover for Mi Redmi Y1  (Multicolor, Hard Case, Pack of: 1)",https://www.flipkart.com/faybey-back-cover-mi-redmi-y1/p/itm8401c72e6865c,itm8401c72e6865c,https://www.flipkart.com/product/p/itm8401c72e6865c,259,INR,₹999,74% off,True,Suitable For: Mobile | Material: Plastic | Theme: For Her | Type: Back Cover,faybey99,4.1,FAYBEY mobile back cover is an extraordinary and appealing phone back cover that not only increase the life span of your handset but also make them look super stylish. It is available in multicolory snaps on to your handset and does not hamper the usage of any ports. It is perfect gift for your loved ones. So pep up and adorn the looks of your phone by adding this phone accessories to it.,"[{'Sales Package': '1 HQ Designer Case'}, {'Model Number': 'saikkc-redmiyoneee-0091'}, {'Designed For': 'Mi Redmi Y1'}, {'Brand Color': 'white'}, {'Pack of': '1'}]",1 HQ Designer Case: Sales Package | saikkc-redmiyoneee-0091: Model Number | Mi Redmi Y1: Designed For | white: Brand Color | 1: Pack of,https://rukminim2.flixcart.com/image/ka5oia80/cases-covers/back-cover/f/z/u/faybey-saikkc-redmiyoneee-0091-original-imafrs9j6quhyadp.jpeg | https://rukminim2.flixcart.com/image/k6i7zww0/cases-covers/back-cover/v/8/g/faybey-saikkc-samsgnotenine-0074-original-imafhqughnezg5sz.jpeg | https://rukminim2.flixcart.com/image/k6gsk280/cases-covers/back-cover/h/5/a/faybey-saikkc-samsgnotenine-0141-original-imafhqug45qj3zue.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | Faybey Designer Cases & Covers,India,Cases & Covers,,0,0,0,30701a0a-7774-59bc-8865-7c2da9bce376,01/01/24
4,11,"SHIVKUDI Back Cover for Tecno Camon 17  (Red, Blue, Grip Case, Silicon)",https://www.flipkart.com/shivkudi-back-cover-tecno-camon-17/p/itmefe84edbdb418,itmefe84edbdb418,https://www.flipkart.com/product/p/itmefe84edbdb418,143,INR,₹499,71% off,False,,MAHAKALSHIV,3.9,,"[{'Sales Package': '1 Back Cover'}, {'Model Number': 'Tec-Cam17-JP3204'}, {'Designed For': 'Tecno Camon 17'}, {'Brand Color': 'Red, Blue'}, {'Net Quantity': '1'}, {'Pack of': '1'}]","1 Back Cover: Sales Package | Tec-Cam17-JP3204: Model Number | Tecno Camon 17: Designed For | Red, Blue: Brand Color | 1: Net Quantity | 1: Pack of",https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/r/u/h/tec-cam17-jp3204-back-cover-palwale-balaji-original-imaggf7ka3qhsgg3.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/n/o/8/tec-cam17-jp3204-back-cover-palwale-balaji-original-imaggf7kueuqj7br.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/r/q/y/tec-cam17-jp3204-back-cover-palwale-balaji-original-imaggf7kggzh2zju.jpeg | https://rukminim2.flixcart.com/image/l20rma80/cases-covers/back-cover/d/a/t/op-f21p-4g-jp3204-bagra-original-imagdg9cfjehggnf.jpeg,No Returns Applicable,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | SHIVKUDI Designer Cases & Covers,India,Shopsy Cases Covers,,0,0,0,3e5bc6ce-61ef-536e-b446-c24fea105c9b,01/01/24
5,12,"MP ARIES MOBILE COVER Back Cover for Realme 5i, RMX2030,Yadav,Yadav,back,cover,Yadav,boy,  (Multicolor, Hard Case, Pack of: 1)",https://www.flipkart.com/hi/mp-aries-mobile-cover-back-realme-5i-rmx2030-yadav-yadav-back-cover-yadav-boy/p/itm724d0f08de7a6,itm724d0f08de7a6,https://www.flipkart.com/product/p/itm724d0f08de7a6,259,INR,₹999,74% off,False,Suitable For: Mobile | Material: Plastic | Theme: Patterns | Type: Back Cover,MP ARIES,3.7,"Designer Printed Hard Back Case and Cover for Realme 5i, RMX2030,Yadav,Yadav,back,cover,Yadav,boy.Our Print is high quality and Durable and the Case is designed to fit your Mobile Device perfectly. Trendy Stylish Back Cover for Girls, Women, Boy, Men, Girl, Woman, Boys, Man. Best Designs, Unique Gift For Every One","[{'Sales Package': '1 Designer Printed Back Cover'}, {'Model Number': 'RMX2030-Yadav-Yadav-back-cover-Yadav-boy-1801'}, {'Designed For': 'Realme 5i, RMX2030,Yadav,Yadav,back,cover,Yadav,boy,'}, {'Brand Color': 'Multicolor'}, {'Pack of': '1'}, {'Other Features': 'Hard Case, Dual Protection, Designer Printed Back Cover, Plastic Cover, Full Mobile Protection'}]","1 Designer Printed Back Cover: Sales Package | RMX2030-Yadav-Yadav-back-cover-Yadav-boy-1801: Model Number | Realme 5i, RMX2030,Yadav,Yadav,back,cover,Yadav,boy,: Designed For | Multicolor: Brand Color | 1: Pack of | Hard Case, Dual Protection, Designer Printed Back Cover, Plastic Cover, Full Mobile Protection: Other Features",https://rukminim2.flixcart.com/image/kkr72q80/cases-covers/back-cover/b/k/z/rmx1911-yadav-yadav-back-cover-yadav-boy-1801-ignite-original-imagyf4svb3sp3uf.jpeg | https://rukminim2.flixcart.com/image/k6mibgw0/cases-covers/back-cover/2/m/h/wallcraft-lion-sky-galaxy-space-nature-colorful-1909-0354-original-imafzu5btpfj3xp8.jpeg | https://rukminim2.flixcart.com/image/k6mibgw0/cases-covers/back-cover/2/m/h/wallcraft-lion-sky-galaxy-space-nature-colorful-1909-0354-original-imafzu5bfhqhdjbg.jpeg | https://rukminim2.flixcart.com/image/k6mibgw0/cases-covers/back-cover/2/m/h/wallcraft-lion-sky-galaxy-space-nature-colorful-1909-0354-original-imafzsetkwqhs4gg.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | MP ARIES MOBILE COVER Designer Cases & Covers,,,,0,0,0,ae797cfa-840b-5b84-97b1-b5cc8a4f8a42,01/01/24
6,15,"Toklot Flip Cover for Itel Vision 3 Turbo  (Multicolor, Pack of: 1)",https://www.flipkart.com/hi/toklot-flip-cover-itel-vision-3-turbo/p/itm5ac38c7931a63,itm5ac38c7931a63,https://www.flipkart.com/product/p/itm5ac38c7931a63,299,INR,₹799,62% off,True,Suitable For: Mobile | Material: Cloth | Theme: No Theme | Type: Flip Cover,Toklot,3.3,"Latest mobile flip cover that gives your phone a smarty and classy look. Manufactured by well skilled work man . This flip cover is made by soft artificial leather and the flip cover protect your phone from scratching , dust , and rain ,also used as the wallet","[{'Sales Package': '1 Flip Cover'}, {'Model Number': 'ITELVISI3TUEBO-20Flip18'}, {'Designed For': 'Itel Vision 3 Turbo'}, {'Brand Color': 'Black'}, {'Pack of': '1'}]",1 Flip Cover: Sales Package | ITELVISI3TUEBO-20Flip18: Model Number | Itel Vision 3 Turbo: Designed For | Black: Brand Color | 1: Pack of,https://rukminim2.flixcart.com/image/xif0q/cases-covers/flip-cover/v/k/t/itelvisi3tuebo-20flip18-realgo-original-imagzfq48mgxesvf.jpeg | https://rukminim2.flixcart.com/image/xif0q/cases-covers/flip-cover/l/i/x/iqz75g-20flip18-toklot-original-imagzf9cmfpbzzua.jpeg | https://rukminim2.flixcart.com/image/xif0q/cases-covers/flip-cover/7/p/1/iqz75g-20flip18-toklot-original-imagzf9cz8qtmmud.jpeg | https://rukminim2.flixcart.com/image/xif0q/cases-covers/flip-cover/m/o/q/iqz75g-20flip18-toklot-original-imagzf9cnrhzhukj.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Plain Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Plain Cases & Covers | Toklot Plain Cases & Covers,,,,0,0,0,2f495dd1-9a25-56d3-aa29-0b62fc21db87,01/01/24
7,16,"KLC Back Cover for Realme 6  (Pink, Green, Grip Case, Silicon)",https://www.flipkart.com/hi/klc-back-cover-realme-6/p/itm46e65661ce364,itm46e65661ce364,https://www.flipkart.com/product/p/itm46e65661ce364,148,INR,₹498,70% off,False,,KLC COVER,3.9,"Realme 6 Back Cover, the best Multicolor covers, This soft silicone Multicolor cover will protect and prevent your phone from scratches, damage and dust. The silicone cover is made from a lightweight tough strong high quality rubber/silicone material which will help you to keep your phone safe. It comes in smooth texture. This will not only look good on your phone but will protect it. This case will Style your mobile.","[{'Sales Package': '1 Back Cover'}, {'Model Number': 'JP-R6-JP4175'}, {'Designed For': 'Realme 6'}, {'Brand Color': 'Pink, Green'}, {'Net Quantity': '1'}, {'Pack of': '1'}]","1 Back Cover: Sales Package | JP-R6-JP4175: Model Number | Realme 6: Designed For | Pink, Green: Brand Color | 1: Net Quantity | 1: Pack of",https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/u/u/c/jp-r6-jp4175-back-cover-sswastik-original-imaggrgjgzcnzhzp.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/q/h/f/jp-r6-jp4175-back-cover-sswastik-original-imaggrgjfufcapgg.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/0/d/g/jp-r6-jp4175-back-cover-sswastik-original-imaggrgjfcyk7phs.jpeg | https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/k/c/n/in-hot20playjp4175-sswastik-original-imaggjpzgwhkanh4.jpeg,वापसी नहीं होगी ,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | KLC Designer Cases & Covers,,,,0,0,0,31d7e8dc-d788-5eb0-b220-15cb56fb1d8b,01/01/24
8,17,"BRIGHTRON Tempered Glass Guard for POCO F1 anti blue ray tempered glass full screen coverage (except edges), smart screen protector full screen coverage ( except edges) blue light resistant eyes protect film for (anti blue) full screen coverage (except edges) transparent  (Pack of 2)",https://www.flipkart.com/hi/brightron-tempered-glass-guard-poco-f1-anti-blue-ray-full-screen-coverage-except-edges-smart-protector-except-edges-light-resistant-eyes-protect-film-anti-blue-transparent/p/itmdff0f76624e70,itmdff0f76624e70,https://www.flipkart.com/product/p/itmdff0f76624e70,149,INR,"₹1,499",90% off,True,"Air-bubble Proof, Anti Bacterial, Anti Fingerprint, Anti Glare, Anti-Blue Light Guard, Scratch Resistant, UV Protection, Washable | Mobile | Tempered Glass | Removable",MaaLaxmiTechCom,3.9,"BRIGHTRON Anti Blue Ray HD Ultra Clear Tempered Glass will prevent from scratches on your device screen without sacrificing visibility. Its dust repelling, reduces glare, smudges and improves clarity. It uses a static adhesive that will not leave a residue when removed, and makes installation error-proof. The screen glass guard also comes along with a microfiber cleaning cloth, allowing you to remove dust or debris from your screen before applying the Screen Protector. The bubble-free application makes BRIGHTRON screen guards an ultimate solution for making your device screen brilliant and scratch-free.",[],,https://rukminim2.flixcart.com/image/kr2e3680/screen-guard/tempered-glass/l/u/p/poco-f1-ab-po2-glass-star-original-imag4y64wvhv8b9g.jpeg | https://rukminim2.flixcart.com/image/kr2e3680/screen-guard/tempered-glass/x/2/c/poco-f1-ab-po2-glass-star-original-imag4y643nqqnevh.jpeg | https://rukminim2.flixcart.com/image/kr2e3680/screen-guard/tempered-glass/g/s/c/poco-f1-ab-po2-glass-star-original-imag4y64wvf8tfee.jpeg,वापसी नहीं होगी ,Mobiles & Accessories,Mobile Accessories,Screen Guards,BRIGHTRON Screen Guards,Mobiles & Accessories | Mobile Accessories | Screen Guards | BRIGHTRON Screen Guards,,,,0,0,0,85c66f29-e03f-526b-a90b-edd7ef448377,01/01/24
9,18,"KUDI Back Cover for Redmi 12 Pro  (Multicolor, Grip Case, Silicon)",https://www.flipkart.com/hi/kudi-back-cover-redmi-12-pro/p/itme71a80e7e0efc,itme71a80e7e0efc,https://www.flipkart.com/product/p/itme71a80e7e0efc,148,INR,₹498,70% off,False,,SHREERAMji,3.9,,"[{'Sales Package': '1'}, {'Model Number': 'JP-R12p-JP4237'}, {'Designed For': 'Redmi 12 Pro'}, {'Brand Color': 'Multicolor'}, {'Net Quantity': '1'}, {'Pack of': '1'}]",1: Sales Package | JP-R12p-JP4237: Model Number | Redmi 12 Pro: Designed For | Multicolor: Brand Color | 1: Net Quantity | 1: Pack of,https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/8/3/u/jp-r12p-jp4237-back-cover-bagra-original-imaggzfexgkfbcyk.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/z/p/c/jp-r12p-jp4237-back-cover-bagra-original-imaggzfex8bb3n3g.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/f/9/f/jp-r12p-jp4237-back-cover-bagra-original-imaggzfebuy9wrjb.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/x/2/z/clpd-cool3-jp4237-back-cover-bagra-original-imaggjpnpyx27emm.jpeg,वापसी नहीं होगी ,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | KUDI Designer Cases & Covers,,,,0,0,0,42f04ddf-5b56-5512-90d9-6908d39d5d52,01/01/24
